Id;status_civil;sexo;data_nascimento;saldo conta_corrente;valor_financiamento;patrimonio;ocupação;tempo_emprego_atual;salario;tipo_de_moradia;numero_dependentes;Bom_mal_pagador
90;CASADO;NAO_DISPONIVEL;1949-06-17;15220725.1617;;30985132.4579;;;15886083.8082;;;1
91;SEPARADO_JUDICIALMENTE;MASCULINO;1959-09-28;20020459.451;;57016517.8625;;;47808079.3625;;;0
92;CASADO;MASCULINO;1987-04-25;88576637.0321;;82427422.0178;;;23907613.9343;;;1
93;OUTRO;MASCULINO;1979-06-14;60596068.2896;;22252072.9397;;;87359931.7502;;;1
94;DIVORCIADO;OUTRO;1976-06-07;71910516.5274;;54317334.9153;;;58547242.2618;;;1
95;DIVORCIADO;NAO_DISPONIVEL;1951-06-10;22803229.1957;;23008507.3765;;;61655952.6771;;;1
96;OUTRO;NAO_DISPONIVEL;1994-07-27;21390157.4876;;2723135.7952;;;89209039.6417;;;1
97;DIVORCIADO;MASCULINO;1998-03-19;83678105.9951;;12439994.5525;;;67157546.2016;;;1
98;SOLTEIRO;MASCULINO;1974-01-11;73199951.1633;;14183186.4348;;;37465.9659;;;1
99;UNIAO_ESTAVEL;NAO_DISPONIVEL;1969-04-14;67195082.5311;;73406259.9128;;;83194807.2712;;;1
100;VIUVO;MASCULINO;1956-09-13;54294833.8158;;52638245.9419;;;41204639.2751;;;1
101;OUTRO;FEMININO;1974-03-29;51591502.427;;98444760.887;;;95268434.9633;;;1
102;SEPARADO_JUDICIALMENTE;MASCULINO;1980-07-23;59727925.7579;;31020661.4825;;;46260123.6564;;;1
103;UNIAO_ESTAVEL;FEMININO;1950-06-14;43154331.2184;;5389337.3274;;;80946905.7302;;;1
104;UNIAO_ESTAVEL;NAO_DISPONIVEL;1953-09-12;14706854.3731;;42948297.1214;;;78266840.2741;;;1
105;UNIAO_ESTAVEL;NAO_DISPONIVEL;1960-01-04;8282366.0534;;64954537.2488;;;85023499.3846;;;1
106;SEPARADO_JUDICIALMENTE;MASCULINO;1997-04-04;757336.0543;;49926054.4441;;;47626921.6403;;;1
107;SEPARADO_JUDICIALMENTE;OUTRO;1985-04-15;16186766.2378;;7650454.5219;;;53621016.0463;;;0
108;SEPARADO_JUDICIALMENTE;OUTRO;1942-01-23;23284473.8716;;61184616.2873;;;51001988.0974;;;1
109;SEPARADO_JUDICIALMENTE;OUTRO;1969-06-26;61107196.2707;;50236949.1715;;;49821856.4224;;;1
110;VIUVO;MASCULINO;1979-07-05;11517491.3944;;95560021.325;;;32734137.7954;;;1
111;VIUVO;MASCULINO;1950-02-22;61178234.3432;;85390644.8541;;;30178944.9304;;;1
112;VIUVO;NAO_DISPONIVEL;1978-06-02;37443217.7907;;85009311.5002;;;31392084.3535;;;1
113;SOLTEIRO;NAO_DISPONIVEL;1944-06-07;85183746.995;;90444438.7917;;;12763156.102;;;1
114;UNIAO_ESTAVEL;NAO_DISPONIVEL;1992-02-15;15078359.9013;;6842791.9424;;;79182113.3344;;;1
115;VIUVO;MASCULINO;1982-03-02;19528840.2109;;55849018.507;;;37145649.3168;;;1
116;OUTRO;NAO_DISPONIVEL;1960-12-02;37454379.8762;;50697565.6428;;;99101947.5143;;;1
117;SOLTEIRO;FEMININO;1957-12-16;45086253.0463;;17484861.8798;;;3920610.6056;;;1
118;CASADO;FEMININO;1974-09-30;94259421.1987;;30966615.5767;;;19646738.9483;;;1
119;OUTRO;FEMININO;1969-11-13;84769158.7051;;6079777.1063;;;90587234.1966;;;1
120;OUTRO;OUTRO;1970-10-11;67763349.5883;;56552505.1605;;;99687973.8799;;;1
121;OUTRO;FEMININO;1952-08-23;11044215.2285;;80784273.8532;;;99120939.9987;;;1
122;SEPARADO_JUDICIALMENTE;MASCULINO;1982-02-17;15614882.5716;;83641213.7858;;;48211953.8191;;;1
123;VIUVO;FEMININO;1957-03-02;69616564.9494;;69088484.4476;;;42847092.0678;;;1
124;OUTRO;OUTRO;1984-09-23;10517096.7858;;59032455.451;;;99013330.7054;;;1
125;CASADO;OUTRO;1943-06-14;50623273.1879;;83115047.9453;;;19572158.4976;;;0
126;CASADO;FEMININO;1947-09-09;10427729.2501;;13430412.3519;;;20507186.4694;;;0
127;DIVORCIADO;FEMININO;1942-05-25;52335714.9724;;69035322.3437;;;59453226.6833;;;1
128;UNIAO_ESTAVEL;FEMININO;1955-10-15;86650366.877;;38038301.3203;;;84786660.5405;;;1
129;DIVORCIADO;OUTRO;1956-02-04;57010215.4717;;56331842.3416;;;62353114.1137;;;1
130;VIUVO;OUTRO;1958-09-10;14077189.6809;;88567853.4387;;;32175665.4694;;;1
131;SOLTEIRO;MASCULINO;1996-11-19;64980375.1206;;58251854.7769;;;13505623.89;;;1
132;SEPARADO_JUDICIALMENTE;NAO_DISPONIVEL;1962-11-13;78068479.4502;;60523511.7489;;;44259301.5495;;;1
133;OUTRO;FEMININO;1947-10-12;41892811.8298;;93283505.8294;;;94372962.9849;;;1
134;DIVORCIADO;OUTRO;1966-11-12;81121502.0924;;71830776.7797;;;62301953.7945;;;1
135;CASADO;FEMININO;1959-08-30;66099027.1137;;18606547.9416;;;15199481.0549;;;1
136;VIUVO;FEMININO;1948-11-21;15236915.1488;;11590136.6812;;;29915347.5126;;;1
137;VIUVO;OUTRO;1945-04-24;94379405.2107;;38728983.5691;;;28807094.8475;;;1
138;CASADO;MASCULINO;1982-04-25;74909159.6116;;58324003.428;;;28458424.8619;;;1
139;CASADO;NAO_DISPONIVEL;1985-03-12;49045334.454;;39436085.2442;;;16003716.1113;;;1
140;OUTRO;FEMININO;1946-07-10;74765341.5035;;45283545.4734;;;93726828.2693;;;1
141;CASADO;FEMININO;1971-05-06;91730286.2733;;49115104.5287;;;27944531.1752;;;1
142;SOLTEIRO;OUTRO;1973-06-20;90196357.9403;;77581906.1482;;;11448967.319;;;1
143;OUTRO;MASCULINO;1960-05-25;73749270.6729;;83851179.9925;;;91597568.8412;;;1
144;SOLTEIRO;MASCULINO;1993-06-16;9243739.9869;;7184743.204;;;4247455.8152;;;1
145;SOLTEIRO;OUTRO;1940-02-14;28232499.06;;79487143.1976;;;8872958.8126;;;1
146;UNIAO_ESTAVEL;MASCULINO;1977-02-18;49760754.0816;;66160185.7186;;;71605413.3895;;;1
147;OUTRO;FEMININO;1977-12-23;36606226.4994;;67164022.7585;;;93825111.9271;;;1
148;DIVORCIADO;FEMININO;1948-06-01;57498125.5532;;20992408.8088;;;64074035.0466;;;1
149;UNIAO_ESTAVEL;NAO_DISPONIVEL;1998-10-13;88118885.2474;;73539960.1845;;;75074392.8076;;;1
150;DIVORCIADO;NAO_DISPONIVEL;1955-06-24;90849250.7403;;43902642.2599;;;58039474.489;;;1
151;OUTRO;MASCULINO;1950-08-11;76956410.7311;;19789053.4648;;;98257930.8283;;;1
152;VIUVO;FEMININO;1984-08-13;94867649.645;;9601934.2978;;;36542784.5461;;;1
153;CASADO;MASCULINO;1971-10-02;14684755.3413;;58113410.1385;;;16314987.8613;;;1
154;OUTRO;OUTRO;1977-10-31;50723148.4369;;85962760.0312;;;90684271.931;;;1
155;SEPARADO_JUDICIALMENTE;FEMININO;1995-04-08;65197864.7553;;29620696.4244;;;55275347.8116;;;1
156;VIUVO;MASCULINO;1973-07-16;31293312.1051;;11943216.0135;;;41917597.1997;;;1
157;DIVORCIADO;MASCULINO;1975-02-11;79719945.7474;;7344590.7525;;;59388488.659;;;1
158;UNIAO_ESTAVEL;OUTRO;1949-04-19;9536561.4458;;11217925.2594;;;79045789.9694;;;1
159;CASADO;FEMININO;1951-10-13;78863521.4607;;17502060.6369;;;24845080.7372;;;1
160;UNIAO_ESTAVEL;MASCULINO;1959-05-29;83322620.7605;;69394902.0746;;;80018851.2922;;;1
161;SOLTEIRO;MASCULINO;1961-01-26;94061427.2069;;50238147.5508;;;1061669.7032;;;1
162;VIUVO;NAO_DISPONIVEL;1985-05-06;32032107.999;;76428877.2171;;;31571705.7194;;;1
163;CASADO;MASCULINO;1968-06-11;68865281.0019;;1391135.3052;;;17621302.0326;;;1
164;SOLTEIRO;MASCULINO;1958-05-27;35633971.5083;;93948634.1703;;;8745958.9411;;;1
165;SOLTEIRO;NAO_DISPONIVEL;1976-12-14;82604909.6295;;27515185.9313;;;4764984.3607;;;0
166;VIUVO;NAO_DISPONIVEL;1989-08-20;29703676.6147;;20237459.3193;;;32626225.6127;;;1
167;SOLTEIRO;MASCULINO;1949-11-27;89827741.3037;;38024785.8043;;;11006854.248;;;1
168;SOLTEIRO;FEMININO;1971-04-02;59739654.7471;;65241740.7134;;;7357461.2345;;;1
169;UNIAO_ESTAVEL;OUTRO;1994-06-15;66926036.3431;;50065360.323;;;73223371.9097;;;1
170;SOLTEIRO;MASCULINO;1953-08-11;5169806.6015;;80940108.9148;;;2855623.0192;;;1
171;SEPARADO_JUDICIALMENTE;OUTRO;1993-01-25;65740391.9796;;40926431.2224;;;48850938.8645;;;1
172;DIVORCIADO;MASCULINO;1947-06-23;14855124.9957;;17497840.2789;;;65224739.9787;;;1
173;SEPARADO_JUDICIALMENTE;OUTRO;1982-07-21;9235073.7081;;48163410.0507;;;43526714.9076;;;1
174;OUTRO;FEMININO;1993-10-11;45949876.617;;34820169.5141;;;90253002.5513;;;1
175;DIVORCIADO;OUTRO;1955-12-17;80188992.7902;;94809045.4629;;;65279571.1291;;;1
176;UNIAO_ESTAVEL;MASCULINO;1952-10-03;35679523.8571;;66466651.1922;;;73052806.5149;;;1
177;CASADO;MASCULINO;1987-02-23;50233393.8911;;54762703.4709;;;17269694.0271;;;1
178;CASADO;OUTRO;1942-04-20;52412084.768;;47562172.0676;;;24014580.3589;;;1
179;VIUVO;NAO_DISPONIVEL;1957-06-06;95040549.1102;;36338379.8486;;;37955157.312;;;1
180;SOLTEIRO;OUTRO;1945-09-18;56228581.4162;;61137546.5696;;;3651858.0147;;;0
181;OUTRO;OUTRO;1946-11-05;52354713.2811;;50567440.7883;;;90819506.9524;;;1
182;DIVORCIADO;FEMININO;1943-10-09;87644375.7562;;43167152.4295;;;69089524.3391;;;1
183;CASADO;NAO_DISPONIVEL;1993-07-22;82317670.3903;;13845013.4791;;;26673921.7924;;;1
184;CASADO;NAO_DISPONIVEL;1970-04-26;6752448.9991;;50156301.2939;;;24809364.5168;;;1
185;UNIAO_ESTAVEL;MASCULINO;1970-11-26;12968409.5805;;78797229.3598;;;82434036.3405;;;1
186;CASADO;OUTRO;1980-07-12;54224135.5265;;20009729.066;;;20068564.4611;;;1
187;UNIAO_ESTAVEL;FEMININO;1972-12-29;41946102.6783;;4683090.6995;;;82030821.8656;;;1
188;CASADO;OUTRO;1987-05-20;51148958.9661;;77566616.9982;;;24797585.149;;;1
189;DIVORCIADO;NAO_DISPONIVEL;1962-09-03;42213194.6291;;93254071.1935;;;64218225.8754;;;1
190;OUTRO;OUTRO;1977-08-18;74487293.5652;;69053854.4288;;;91618508.0458;;;1
191;SEPARADO_JUDICIALMENTE;FEMININO;1955-05-01;54115135.0035;;31069814.8714;;;56823451.3885;;;1
192;SEPARADO_JUDICIALMENTE;MASCULINO;1961-12-15;75705697.6565;;94000273.9343;;;47701460.9033;;;1
193;VIUVO;MASCULINO;1979-10-15;40139066.5601;;59824293.1605;;;33008318.3903;;;1
194;UNIAO_ESTAVEL;OUTRO;1983-02-10;96766619.6074;;51935570.4704;;;82951515.1999;;;1
195;CASADO;MASCULINO;1945-11-21;88721497.7031;;50632486.6613;;;15882447.692;;;1
196;UNIAO_ESTAVEL;FEMININO;1974-09-05;68919878.1479;;93617047.4112;;;79371096.8669;;;1
197;UNIAO_ESTAVEL;NAO_DISPONIVEL;1987-01-30;86777465.1281;;73685452.49;;;71490383.2715;;;1
198;CASADO;MASCULINO;1997-07-14;60941138.5469;;19538896.0095;;;20999272.1905;;;1
199;DIVORCIADO;MASCULINO;1998-12-03;65444647.6484;;99645811.8596;;;60850859.733;;;1
200;CASADO;OUTRO;1953-08-04;94757988.2007;;25760976.503;;;14855904.8217;;;1
201;UNIAO_ESTAVEL;OUTRO;1984-11-14;11301849.8831;;70887004.3642;;;84014065.4919;;;1
202;DIVORCIADO;NAO_DISPONIVEL;1955-11-04;22343038.7746;;36600587.3606;;;69040594.584;;;1
203;UNIAO_ESTAVEL;MASCULINO;1951-05-03;84774794.9722;;7903261.7995;;;71589180.5304;;;1
204;UNIAO_ESTAVEL;OUTRO;1962-11-15;93048709.8101;;60817110.5357;;;80821686.4776;;;1
205;VIUVO;NAO_DISPONIVEL;1973-08-28;96022095.5728;;12484166.3669;;;31296585.001;;;1
206;OUTRO;FEMININO;1969-02-03;42675156.0296;;91429290.9841;;;95783594.1311;;;0
207;UNIAO_ESTAVEL;MASCULINO;1961-12-17;50246781.5463;;92582087.8064;;;82838115.0128;;;1
208;SOLTEIRO;FEMININO;1988-06-23;11001736.4275;;85792942.535;;;2334519.8016;;;1
209;VIUVO;NAO_DISPONIVEL;1960-04-14;84312709.9549;;91744904.2806;;;31415287.1144;;;1
210;OUTRO;NAO_DISPONIVEL;1958-03-03;9902413.2271;;45719309.5322;;;89837004.9525;;;1
211;SEPARADO_JUDICIALMENTE;NAO_DISPONIVEL;1981-07-27;78114943.8463;;92206280.5947;;;56255765.3952;;;1
212;CASADO;FEMININO;1994-09-13;23213453.7683;;13563728.8953;;;27209352.5229;;;1
213;SEPARADO_JUDICIALMENTE;NAO_DISPONIVEL;1995-02-21;21764495.9956;;12517254.8839;;;53254341.5699;;;1
214;UNIAO_ESTAVEL;NAO_DISPONIVEL;1961-05-05;4729227.0266;;26406326.2301;;;83466531.759;;;1
215;SEPARADO_JUDICIALMENTE;FEMININO;1969-05-16;15307551.0703;;5634670.2524;;;56790768.8583;;;1
216;OUTRO;OUTRO;1986-10-11;3462462.428;;99344717.2533;;;97182384.7681;;;1
217;CASADO;MASCULINO;1987-08-09;10276535.1026;;42233588.683;;;27287777.0075;;;1
218;DIVORCIADO;OUTRO;1948-12-06;33358793.7057;;19446914.5184;;;61169453.3547;;;1
219;VIUVO;FEMININO;1956-07-27;1250689.7294;;1976095.7954;;;42566601.7625;;;1
220;UNIAO_ESTAVEL;OUTRO;1962-06-02;35951236.0349;;28713071.1057;;;79632214.1262;;;1
221;VIUVO;FEMININO;1997-11-09;54611730.1254;;65991350.0924;;;42807098.4691;;;1
222;SEPARADO_JUDICIALMENTE;NAO_DISPONIVEL;1981-02-12;52555444.9064;;89646120.9166;;;54128634.7143;;;1
223;DIVORCIADO;NAO_DISPONIVEL;1987-04-21;81520083.0237;;71940574.8672;;;64159752.8813;;;1
224;VIUVO;FEMININO;1966-03-22;48091646.7441;;46671260.2869;;;42585699.5096;;;1
225;SOLTEIRO;FEMININO;1972-02-09;29145783.7721;;61685896.3507;;;2414635.8706;;;1
226;SOLTEIRO;OUTRO;1960-09-08;89485220.7607;;80859099.8005;;;5268012.7494;;;1
227;CASADO;OUTRO;1974-11-01;12659892.4621;;12914209.2879;;;19800862.5185;;;1
228;VIUVO;OUTRO;1972-07-03;42323461.7588;;97494703.1152;;;33404105.4047;;;1
229;VIUVO;OUTRO;1984-04-24;9612202.1956;;27626326.0314;;;32574101.2816;;;0
230;CASADO;MASCULINO;1992-12-08;63063097.603;;46174943.4045;;;20626990.7332;;;1
231;CASADO;MASCULINO;1975-01-19;78127552.7899;;13550488.655;;;23788987.0718;;;1
232;DIVORCIADO;FEMININO;1960-10-07;32642341.9099;;33660545.8414;;;63418284.0996;;;1
233;SEPARADO_JUDICIALMENTE;OUTRO;1993-07-13;14861859.9007;;56216838.4636;;;51868685.212;;;1
234;SOLTEIRO;NAO_DISPONIVEL;1955-04-04;2999830.8768;;55356529.5698;;;14063040.6085;;;1
235;CASADO;FEMININO;1971-05-13;93051868.0765;;64126709.4868;;;19956067.4938;;;1
236;SEPARADO_JUDICIALMENTE;FEMININO;1988-08-22;7694367.4465;;68943183.9713;;;46098134.4152;;;1
237;DIVORCIADO;FEMININO;1954-04-28;98779645.8222;;37854353.1695;;;68596296.8864;;;1
238;SOLTEIRO;OUTRO;1955-12-01;6440383.8389;;9919047.9316;;;1189730.9564;;;1
239;SOLTEIRO;MASCULINO;1947-10-15;30914106.9288;;951588.9126;;;1012537.0594;;;1
240;SOLTEIRO;NAO_DISPONIVEL;1965-10-27;29280004.0001;;13682522.255;;;10088537.0203;;;0
241;SOLTEIRO;FEMININO;1974-09-12;61456235.9952;;99150087.8105;;;2956872.9393;;;0
242;VIUVO;OUTRO;1943-04-24;68437113.5019;;49104921.052;;;40525171.2677;;;1
243;OUTRO;OUTRO;1986-12-02;20684300.4076;;69213047.8861;;;89771939.8245;;;1
244;CASADO;FEMININO;1945-12-15;28996833.6296;;7636841.9854;;;22375939.7489;;;1
245;SEPARADO_JUDICIALMENTE;FEMININO;1946-10-02;90676071.1795;;77171737.0454;;;55119190.3494;;;1
246;UNIAO_ESTAVEL;OUTRO;1994-09-30;47912892.8411;;27222491.5285;;;73580094.0171;;;1
247;SEPARADO_JUDICIALMENTE;NAO_DISPONIVEL;1994-06-14;36554650.695;;52079963.9316;;;43677832.1452;;;1
248;SEPARADO_JUDICIALMENTE;FEMININO;1969-02-06;69167859.9661;;76525838.9091;;;48053029.2113;;;1
249;CASADO;NAO_DISPONIVEL;1987-12-19;51645353.5368;;66986992.0292;;;27383351.5178;;;1
250;VIUVO;MASCULINO;1956-05-11;21399412.0185;;42221497.2522;;;36925737.9356;;;1
251;CASADO;MASCULINO;1946-03-07;63724883.5923;;19707572.4726;;;16581905.4906;;;1
252;OUTRO;FEMININO;1965-12-28;441874.3203;;67218127.8963;;;98165340.6015;;;1
253;UNIAO_ESTAVEL;OUTRO;1981-01-03;26132192.7192;;74013897.5254;;;79386953.7046;;;1
254;DIVORCIADO;FEMININO;1978-05-29;51157384.7699;;26466917.0052;;;69382489.6636;;;1
